id,identifier,category_id,cost,fling_power,fling_effect_id,timing_id,is_berry,change_stat_id,change_stat_val,change_stat_id2,change_stat_val2
71,shoal-shell,9,20,30,,0,0,-1,100,-1,100
72,red-shard,9,1000,30,,0,0,-1,100,-1,100
73,blue-shard,9,1000,30,,0,0,-1,100,-1,100
74,yellow-shard,9,1000,30,,0,0,-1,100,-1,100
75,green-shard,9,1000,30,,0,0,-1,100,-1,100
76,super-repel,11,700,30,,0,0,-1,100,-1,100
77,max-repel,11,900,30,,0,0,-1,100,-1,100
78,escape-rope,11,300,30,,0,0,-1,100,-1,100
79,repel,11,400,30,,0,0,-1,100,-1,100
80,sun-stone,10,3000,30,,0,0,-1,100,-1,100
81,moon-stone,10,3000,30,,0,0,-1,100,-1,100
82,fire-stone,10,3000,30,,0,0,-1,100,-1,100
83,thunder-stone,10,3000,30,,0,0,-1,100,-1,100
84,water-stone,10,3000,30,,0,0,-1,100,-1,100
85,leaf-stone,10,3000,30,,0,0,-1,100,-1,100
86,tiny-mushroom,24,500,30,,0,0,-1,100,-1,100
87,big-mushroom,24,5000,30,,0,0,-1,100,-1,100
88,pearl,24,2000,30,,0,0,-1,100,-1,100
89,big-pearl,24,8000,30,,0,0,-1,100,-1,100
90,stardust,24,3000,30,,0,0,-1,100,-1,100
91,star-piece,24,12000,30,,0,0,-1,100,-1,100
92,nugget,24,10000,30,,0,0,-1,100,-1,100
93,heart-scale,9,100,30,,0,0,-1,100,-1,100
94,honey,35,900,30,,0,0,-1,100,-1,100
95,growth-mulch,32,200,30,,0,0,-1,100,-1,100
96,damp-mulch,32,200,30,,0,0,-1,100,-1,100
97,stable-mulch,32,200,30,,0,0,-1,100,-1,100
98,gooey-mulch,32,200,30,,0,0,-1,100,-1,100
99,root-fossil,35,7000,100,,0,0,-1,100,-1,100
100,claw-fossil,35,7000,100,,0,0,-1,100,-1,100
101,helix-fossil,35,7000,100,,0,0,-1,100,-1,100
102,dome-fossil,35,7000,100,,0,0,-1,100,-1,100
103,old-amber,35,10000,100,,0,0,-1,100,-1,100
104,armor-fossil,35,7000,100,,0,0,-1,100,-1,100
105,skull-fossil,35,7000,100,,0,0,-1,100,-1,100
106,rare-bone,24,5000,100,,0,0,-1,100,-1,100
107,shiny-stone,10,3000,80,,0,0,-1,100,-1,100
108,dusk-stone,10,3000,80,,0,0,-1,100,-1,100
109,dawn-stone,10,3000,80,,0,0,-1,100,-1,100
110,oval-stone,10,2000,80,,0,0,-1,100,-1,100
111,odd-keystone,35,2100,80,,0,0,-1,100,-1,100
112,adamant-orb,18,0,60,,31,0,1,120,3,120
113,lustrous-orb,18,0,60,,31,0,1,120,3,120
114,grass-mail,25,50,,,0,0,-1,100,-1,100
115,flame-mail,25,50,,,0,0,-1,100,-1,100
116,bubble-mail,25,50,,,0,0,-1,100,-1,100
117,bloom-mail,25,50,,,0,0,-1,100,-1,100
118,tunnel-mail,25,50,,,0,0,-1,100,-1,100
119,steel-mail,25,50,,,0,0,-1,100,-1,100
120,heart-mail,25,50,,,0,0,-1,100,-1,100
121,snow-mail,25,50,,,0,0,-1,100,-1,100
122,space-mail,25,50,,,0,0,-1,100,-1,100
123,air-mail,25,50,,,0,0,-1,100,-1,100
124,mosaic-mail,25,50,,,0,0,-1,100,-1,100
125,brick-mail,25,50,,,0,0,-1,100,-1,100
126,cheri-berry,3,80,10,3,7,1,-1,100,-1,100
127,chesto-berry,3,80,10,3,15,1,-1,100,-1,100
128,pecha-berry,3,80,10,3,16,1,-1,100,-1,100
129,rawst-berry,3,80,10,3,34,1,-1,100,-1,100
130,aspear-berry,3,80,10,3,33,1,-1,100,-1,100
131,leppa-berry,3,80,10,3,150,1,-1,100,-1,100
132,oran-berry,3,80,10,3,46,1,-1,100,-1,100
133,persim-berry,3,80,10,3,152,1,-1,100,-1,100
134,lum-berry,3,80,10,3,151,1,-1,100,-1,100
135,sitrus-berry,3,80,10,3,46,1,-1,100,-1,100
136,figy-berry,6,80,10,3,118,1,-1,100,-1,100
137,wiki-berry,6,80,10,3,118,1,-1,100,-1,100
138,mago-berry,6,80,10,3,118,1,-1,100,-1,100
139,aguav-berry,6,80,10,3,118,1,-1,100,-1,100
140,iapapa-berry,6,80,10,3,118,1,-1,100,-1,100
141,razz-berry,8,200,10,,0,1,-1,100,-1,100
142,bluk-berry,8,20,10,,0,1,-1,100,-1,100
143,nanab-berry,8,200,10,,0,1,-1,100,-1,100
144,wepear-berry,8,20,10,,0,1,-1,100,-1,100
145,pinap-berry,8,200,10,,0,1,-1,100,-1,100
146,pomeg-berry,2,80,10,,0,1,-1,100,-1,100
147,kelpsy-berry,2,80,10,,0,1,-1,100,-1,100
148,qualot-berry,2,80,10,,0,1,-1,100,-1,100
149,hondew-berry,2,80,10,,0,1,-1,100,-1,100
150,grepa-berry,2,80,10,,0,1,-1,100,-1,100
151,tamato-berry,2,80,10,,0,1,-1,100,-1,100
152,cornn-berry,8,20,10,,0,1,-1,100,-1,100
153,magost-berry,8,20,10,,0,1,-1,100,-1,100
154,rabuta-berry,8,20,10,,0,1,-1,100,-1,100
155,nomel-berry,8,20,10,,0,1,-1,100,-1,100
156,spelon-berry,8,20,10,,0,1,-1,100,-1,100
157,pamtre-berry,8,20,10,,0,1,-1,100,-1,100
158,watmel-berry,8,20,10,,0,1,-1,100,-1,100
159,durin-berry,8,20,10,,0,1,-1,100,-1,100
160,belue-berry,8,20,10,,0,1,-1,100,-1,100
161,occa-berry,7,80,10,,132,1,-1,100,-1,100
162,passho-berry,7,80,10,,133,1,-1,100,-1,100
163,wacan-berry,7,80,10,,134,1,-1,100,-1,100
164,rindo-berry,7,80,10,,135,1,-1,100,-1,100
165,yache-berry,7,80,10,,136,1,-1,100,-1,100
166,chople-berry,7,80,10,,137,1,-1,100,-1,100
167,kebia-berry,7,80,10,,138,1,-1,100,-1,100
168,shuca-berry,7,80,10,,139,1,-1,100,-1,100
169,coba-berry,7,80,10,,140,1,-1,100,-1,100
170,payapa-berry,7,80,10,,141,1,-1,100,-1,100
171,tanga-berry,7,80,10,,142,1,-1,100,-1,100
172,charti-berry,7,80,10,,143,1,-1,100,-1,100
173,kasib-berry,7,80,10,,144,1,-1,100,-1,100
174,haban-berry,7,80,10,,145,1,-1,100,-1,100
175,colbur-berry,7,80,10,,146,1,-1,100,-1,100
176,babiri-berry,7,80,10,,147,1,-1,100,-1,100
177,chilan-berry,7,80,10,,149,1,-1,100,-1,100
178,liechi-berry,5,80,10,3,118,1,-1,100,-1,100
179,ganlon-berry,5,80,10,3,118,1,-1,100,-1,100
180,salac-berry,5,80,10,3,118,1,-1,100,-1,100
181,petaya-berry,5,80,10,3,118,1,-1,100,-1,100
182,apicot-berry,5,80,10,3,118,1,-1,100,-1,100
183,lansat-berry,5,80,10,3,118,1,-1,100,-1,100
184,starf-berry,5,80,10,3,118,1,-1,100,-1,100
185,enigma-berry,4,80,10,,121,1,-1,100,-1,100
186,micle-berry,5,80,10,3,118,1,-1,100,-1,100
187,custap-berry,5,80,10,,155,1,-1,100,-1,100
188,jaboca-berry,4,80,10,,83,1,-1,100,-1,100
189,rowap-berry,4,80,10,,125,1,-1,100,-1,100
190,bright-powder,12,4000,10,,31,0,-1,100,-1,100
191,white-herb,12,4000,10,4,129,0,-1,100,-1,100
192,macho-brace,14,3000,60,,31,0,-1,100,-1,100
193,exp-share,16,0,,,0,0,-1,100,-1,100
194,quick-claw,12,4000,80,,107,0,-1,100,-1,100
195,soothe-bell,16,4000,10,,0,0,-1,100,-1,100
196,mental-herb,12,4000,10,4,89,0,-1,100,-1,100
197,choice-band,13,4000,10,,31,0,1,150,-1,100
198,kings-rock,12,5000,30,7,31,0,-1,100,-1,100
199,silver-powder,19,1000,10,,31,0,1,120,3,120
200,amulet-coin,16,10000,30,,0,0,-1,100,-1,100
201,cleanse-tag,16,5000,30,,0,0,-1,100,-1,100
202,soul-dew,18,0,30,,31,0,-1,100,-1,100
203,deep-sea-tooth,18,2000,90,,31,0,-1,100,-1,100
204,deep-sea-scale,18,2000,30,,31,0,-1,100,-1,100
205,smoke-ball,12,4000,30,,0,0,-1,100,-1,100
206,everstone,16,3000,30,,0,0,-1,100,-1,100
207,focus-band,12,4000,10,,82,0,-1,100,-1,100
208,lucky-egg,16,10000,30,,0,0,-1,100,-1,100
209,scope-lens,12,4000,30,,31,0,-1,100,-1,100
210,metal-coat,19,2000,30,,31,0,1,120,3,120
211,leftovers,12,4000,10,,160,0,-1,100,-1,100
212,dragon-scale,10,2000,30,,0,0,-1,100,-1,100
213,light-ball,18,1000,30,5,31,0,1,200,3,200
214,soft-sand,19,1000,10,,31,0,1,120,3,120
215,hard-stone,19,1000,100,,31,0,1,120,3,120
216,miracle-seed,19,1000,30,,31,0,1,120,3,120
217,black-glasses,19,1000,30,,31,0,1,120,3,120
218,black-belt,19,1000,30,,31,0,1,120,3,120
219,magnet,19,1000,30,,31,0,1,120,3,120
220,mystic-water,19,1000,30,,31,0,1,120,3,120
221,sharp-beak,19,1000,50,,31,0,1,120,3,120
222,poison-barb,19,1000,70,6,31,0,1,120,3,120
223,never-melt-ice,19,1000,30,,31,0,1,120,3,120
224,spell-tag,19,1000,30,,31,0,1,120,3,120
225,twisted-spoon,19,1000,30,,31,0,1,120,3,120
226,charcoal,19,1000,30,,31,0,1,120,3,120
227,dragon-fang,19,1000,70,,31,0,1,120,3,120
228,silk-scarf,19,1000,10,,31,0,1,120,3,120
229,up-grade,10,2000,30,,0,0,-1,100,-1,100
230,shell-bell,12,4000,30,,60,0,-1,100,-1,100
231,sea-incense,19,2000,10,,31,0,-1,100,-1,100
232,lax-incense,12,5000,10,,31,0,-1,100,-1,100
233,lucky-punch,18,1000,40,,31,0,-1,100,-1,100
234,metal-powder,18,1000,10,,0,0,-1,100,-1,100
235,thick-club,18,1000,90,,31,0,-1,100,-1,100
236,stick,18,1000,60,,31,0,-1,100,-1,100
237,red-scarf,36,100,10,,0,0,-1,100,-1,100
238,blue-scarf,36,100,10,,0,0,-1,100,-1,100
239,pink-scarf,36,100,10,,0,0,-1,100,-1,100
240,green-scarf,36,100,10,,0,0,-1,100,-1,100
241,yellow-scarf,36,100,10,,0,0,-1,100,-1,100
242,wide-lens,12,4000,10,,31,0,-1,100,-1,100
243,muscle-band,12,4000,10,,31,0,1,110,-1,100
244,wise-glasses,12,4000,10,,31,0,3,110,-1,100
245,expert-belt,12,4000,10,,31,0,1,120,3,120
246,light-clay,12,4000,30,,31,0,-1,100,-1,100
247,life-orb,12,4000,30,,60,0,1,130,3,130
248,power-herb,12,4000,10,,156,0,-1,100,-1,100
249,toxic-orb,15,4000,30,1,153,0,-1,100,-1,100
250,flame-orb,15,4000,30,2,153,0,-1,100,-1,100
251,quick-powder,18,1000,10,,0,0,-1,100,-1,100
252,focus-sash,12,4000,10,,82,0,-1,100,-1,100
253,zoom-lens,12,4000,10,,31,0,-1,100,-1,100
254,metronome,12,4000,30,,31,0,1,120,3,120
255,iron-ball,15,4000,130,,31,0,-1,100,-1,100
256,lagging-tail,15,4000,10,,31,0,-1,100,-1,100
257,destiny-knot,12,4000,10,,154,0,-1,100,-1,100
258,black-sludge,12,4000,30,,161,0,-1,100,-1,100
259,icy-rock,12,4000,40,,31,0,-1,100,-1,100
260,smooth-rock,12,4000,10,,31,0,-1,100,-1,100
261,heat-rock,12,4000,60,,31,0,-1,100,-1,100
262,damp-rock,12,4000,60,,31,0,-1,100,-1,100
263,grip-claw,12,4000,90,,31,0,-1,100,-1,100
264,choice-scarf,13,4000,10,,31,0,-1,100,-1,100
265,sticky-barb,15,4000,80,,4,0,-1,100,-1,100
266,power-bracer,14,3000,70,,0,0,-1,100,-1,100
267,power-belt,14,3000,70,,0,0,-1,100,-1,100
268,power-lens,14,3000,70,,0,0,-1,100,-1,100
269,power-band,14,3000,70,,0,0,-1,100,-1,100
270,power-anklet,14,3000,70,,0,0,-1,100,-1,100
271,power-weight,14,3000,70,,0,0,-1,100,-1,100
272,shed-shell,12,4000,10,,31,0,-1,100,-1,100
273,big-root,12,4000,10,,31,0,-1,100,-1,100
274,choice-specs,13,4000,10,,31,0,3,150,-1,100
275,flame-plate,17,1000,90,,31,0,1,120,3,120
276,splash-plate,17,1000,90,,31,0,1,120,3,120
277,zap-plate,17,1000,90,,31,0,1,120,3,120
278,meadow-plate,17,1000,90,,31,0,1,120,3,120
279,icicle-plate,17,1000,90,,31,0,1,120,3,120
280,fist-plate,17,1000,90,,31,0,1,120,3,120
281,toxic-plate,17,1000,90,,31,0,1,120,3,120
282,earth-plate,17,1000,90,,31,0,1,120,3,120
283,sky-plate,17,1000,90,,31,0,1,120,3,120
284,mind-plate,17,1000,90,,31,0,1,120,3,120
285,insect-plate,17,1000,90,,31,0,1,120,3,120
286,stone-plate,17,1000,90,,31,0,1,120,3,120
287,spooky-plate,17,1000,90,,31,0,1,120,3,120
288,draco-plate,17,1000,90,,31,0,1,120,3,120
289,dread-plate,17,1000,90,,31,0,1,120,3,120
290,iron-plate,17,1000,90,,31,0,1,120,3,120
291,odd-incense,19,2000,10,,31,0,-1,100,-1,100
292,rock-incense,19,2000,10,,31,0,-1,100,-1,100
293,full-incense,15,5000,10,,31,0,-1,100,-1,100
294,wave-incense,19,2000,10,,31,0,-1,100,-1,100
295,rose-incense,19,2000,10,,31,0,-1,100,-1,100
296,luck-incense,16,11000,10,,0,0,-1,100,-1,100
297,pure-incense,16,6000,10,,0,0,-1,100,-1,100
298,protector,10,2000,80,,0,0,-1,100,-1,100
299,electirizer,10,2000,80,,0,0,-1,100,-1,100
300,magmarizer,10,2000,80,,0,0,-1,100,-1,100
301,dubious-disc,10,2000,50,,0,0,-1,100,-1,100
302,reaper-cloth,10,2000,10,,0,0,-1,100,-1,100
303,razor-claw,12,5000,80,,31,0,-1,100,-1,100
304,razor-fang,12,5000,30,7,31,0,-1,100,-1,100
305,tm01,37,40000,,,0,0,-1,100,-1,100
306,tm02,37,1000,,,0,0,-1,100,-1,100
307,tm03,37,50000,,,0,0,-1,100,-1,100
308,tm04,37,50000,,,0,0,-1,100,-1,100
309,tm05,37,50000,,,0,0,-1,100,-1,100
310,tm06,37,1000,,,0,0,-1,100,-1,100
311,tm07,37,1000,,,0,0,-1,100,-1,100
312,tm08,37,50000,,,0,0,-1,100,-1,100
313,tm09,37,50000,,,0,0,-1,100,-1,100
314,tm10,37,1000,,,0,0,-1,100,-1,100
315,tm11,37,1000,,,0,0,-1,100,-1,100
316,tm12,37,50000,,,0,0,-1,100,-1,100
317,tm13,37,10000,,,0,0,-1,100,-1,100
318,tm14,37,1000,,,0,0,-1,100,-1,100
319,tm15,37,1000,,,0,0,-1,100,-1,100
320,tm16,37,1000,,,0,0,-1,100,-1,100
321,tm17,37,10000,,,0,0,-1,100,-1,100
322,tm18,37,10000,,,0,0,-1,100,-1,100
323,tm19,37,10000,,,0,0,-1,100,-1,100
324,tm20,37,100000,,,0,0,-1,100,-1,100
325,tm21,37,1000,,,0,0,-1,100,-1,100
326,tm22,37,1000,,,0,0,-1,100,-1,100
327,tm23,37,10000,,,0,0,-1,100,-1,100
328,tm24,37,1000,,,0,0,-1,100,-1,100
329,tm25,37,10000,,,0,0,-1,100,-1,100
330,tm26,37,1000,,,0,0,-1,100,-1,100
331,tm27,37,1000,,,0,0,-1,100,-1,100
332,tm28,37,100000,,,0,0,-1,100,-1,100
333,tm29,37,1000,,,0,0,-1,100,-1,100
334,tm30,37,1000,,,0,0,-1,100,-1,100
335,tm31,37,1000,,,0,0,-1,100,-1,100
336,tm32,37,10000,,,0,0,-1,100,-1,100
337,tm33,37,10000,,,0,0,-1,100,-1,100
338,tm34,37,10000,,,0,0,-1,100,-1,100
339,tm35,37,10000,,,0,0,-1,100,-1,100
340,tm36,37,1000,,,0,0,-1,100,-1,100
341,tm37,37,1000,,,0,0,-1,100,-1,100
342,tm38,37,1000,,,0,0,-1,100,-1,100
343,tm39,37,1000,,,0,0,-1,100,-1,100
344,tm40,37,1000,,,0,0,-1,100,-1,100
345,tm41,37,10000,,,0,0,-1,100,-1,100
346,tm42,37,1000,,,0,0,-1,100,-1,100
347,tm43,37,1000,,,0,0,-1,100,-1,100
348,tm44,37,100000,,,0,0,-1,100,-1,100
349,tm45,37,1000,,,0,0,-1,100,-1,100
350,tm46,37,30000,,,0,0,-1,100,-1,100
351,tm47,37,1000,,,0,0,-1,100,-1,100
352,tm48,37,1000,,,0,0,-1,100,-1,100
353,tm49,37,1000,,,0,0,-1,100,-1,100
354,tm50,37,10000,,,0,0,-1,100,-1,100
355,tm51,37,1000,,,0,0,-1,100,-1,100
356,tm52,37,100000,,,0,0,-1,100,-1,100
357,tm53,37,1000,,,0,0,-1,100,-1,100
358,tm54,37,1000,,,0,0,-1,100,-1,100
359,tm55,37,10000,,,0,0,-1,100,-1,100
360,tm56,37,1000,,,0,0,-1,100,-1,100
361,tm57,37,1000,,,0,0,-1,100,-1,100
362,tm58,37,1000,,,0,0,-1,100,-1,100
363,tm59,37,100000,,,0,0,-1,100,-1,100
364,tm60,37,30000,,,0,0,-1,100,-1,100
365,tm61,37,30000,,,0,0,-1,100,-1,100
366,tm62,37,30000,,,0,0,-1,100,-1,100
367,tm63,37,50000,,,0,0,-1,100,-1,100
368,tm64,37,1000,,,0,0,-1,100,-1,100
369,tm65,37,1000,,,0,0,-1,100,-1,100
370,tm66,37,30000,,,0,0,-1,100,-1,100
371,tm67,37,30000,,,0,0,-1,100,-1,100
372,tm68,37,30000,,,0,0,-1,100,-1,100
373,tm69,37,1000,,,0,0,-1,100,-1,100
374,tm70,37,50000,,,0,0,-1,100,-1,100
375,tm71,37,50000,,,0,0,-1,100,-1,100
376,tm72,37,50000,,,0,0,-1,100,-1,100
377,tm73,37,1000,,,0,0,-1,100,-1,100
378,tm74,37,1000,,,0,0,-1,100,-1,100
379,tm75,37,1000,,,0,0,-1,100,-1,100
380,tm76,37,10000,,,0,0,-1,100,-1,100
381,tm77,37,1000,,,0,0,-1,100,-1,100
382,tm78,37,1000,,,0,0,-1,100,-1,100
383,tm79,37,1000,,,0,0,-1,100,-1,100
384,tm80,37,1000,,,0,0,-1,100,-1,100
385,tm81,37,1000,,,0,0,-1,100,-1,100
386,tm82,37,1000,,,0,0,-1,100,-1,100
387,tm83,37,100000,,,0,0,-1,100,-1,100
388,tm84,37,1000,,,0,0,-1,100,-1,100
389,tm85,37,1000,,,0,0,-1,100,-1,100
390,tm86,37,1000,,,0,0,-1,100,-1,100
391,tm87,37,1000,,,0,0,-1,100,-1,100
392,tm88,37,20000,,,0,0,-1,100,-1,100
393,tm89,37,20000,,,0,0,-1,100,-1,100
394,tm90,37,20000,,,0,0,-1,100,-1,100
395,tm91,37,20000,,,0,0,-1,100,-1,100
396,tm92,37,100000,,,0,0,-1,100,-1,100
397,hm01,37,0,,,0,0,-1,100,-1,100
398,hm02,37,0,,,0,0,-1,100,-1,100
399,hm03,37,0,,,0,0,-1,100,-1,100
400,hm04,37,0,,,0,0,-1,100,-1,100
401,hm05,37,0,,,0,0,-1,100,-1,100
402,hm06,37,0,,,0,0,-1,100,-1,100
403,hm07,37,0,,,0,0,-1,100,-1,100
404,hm08,37,0,,,0,0,-1,100,-1,100
405,explorer-kit,21,0,,,0,0,-1,100,-1,100
406,loot-sack,23,0,,,0,0,-1,100,-1,100
407,rule-book,23,0,,,0,0,-1,100,-1,100
408,poke-radar,21,0,,,0,0,-1,100,-1,100
409,point-card,21,0,,,0,0,-1,100,-1,100
410,journal,21,0,,,0,0,-1,100,-1,100
411,seal-case,21,0,,,0,0,-1,100,-1,100
412,fashion-case,21,0,,,0,0,-1,100,-1,100
413,seal-bag,23,0,,,0,0,-1,100,-1,100
414,pal-pad,21,0,,,0,0,-1,100,-1,100
415,works-key,22,0,,,0,0,-1,100,-1,100
416,old-charm,22,0,,,0,0,-1,100,-1,100
417,galactic-key,22,0,,,0,0,-1,100,-1,100
418,red-chain,23,0,,,0,0,-1,100,-1,100
419,town-map,21,0,,,0,0,-1,100,-1,100
420,vs-seeker,21,0,,,0,0,-1,100,-1,100
421,coin-case,21,0,,,0,0,-1,100,-1,100
422,old-rod,21,0,,,0,0,-1,100,-1,100
423,good-rod,21,0,,,0,0,-1,100,-1,100
424,super-rod,21,0,,,0,0,-1,100,-1,100
425,sprayduck,21,0,,,0,0,-1,100,-1,100
426,poffin-case,21,0,,,0,0,-1,100,-1,100
427,bicycle,21,0,,,0,0,-1,100,-1,100
428,suite-key,20,0,,,0,0,-1,100,-1,100
429,oaks-letter,20,0,,,0,0,-1,100,-1,100
430,lunar-wing,20,0,,,0,0,-1,100,-1,100
431,member-card,20,0,,,0,0,-1,100,-1,100
432,azure-flute,20,0,,,0,0,-1,100,-1,100
433,ss-ticket,22,0,,,0,0,-1,100,-1,100
434,contest-pass,21,0,,,0,0,-1,100,-1,100
435,magma-stone,22,0,,,0,0,-1,100,-1,100
436,parcel,22,0,,,0,0,-1,100,-1,100
437,coupon-1,22,0,,,0,0,-1,100,-1,100
438,coupon-2,22,0,,,0,0,-1,100,-1,100
439,coupon-3,22,0,,,0,0,-1,100,-1,100
440,storage-key,22,0,,,0,0,-1,100,-1,100
441,secret-potion,22,0,,,0,0,-1,100,-1,100
442,griseous-orb,18,0,60,,31,0,1,120,3,120
443,vs-recorder,21,0,,,0,0,-1,100,-1,100
444,gracidea,20,0,,,0,0,-1,100,-1,100
445,secret-key,20,0,,,0,0,-1,100,-1,100
446,apricorn-box,21,0,,,0,0,-1,100,-1,100
447,berry-pots,21,0,,,0,0,-1,100,-1,100
448,squirt-bottle,22,0,,,0,0,-1,100,-1,100
449,lure-ball,39,0,,,0,0,-1,100,-1,100
450,level-ball,39,0,,,0,0,-1,100,-1,100
451,moon-ball,39,0,,,0,0,-1,100,-1,100
452,heavy-ball,39,0,,,0,0,-1,100,-1,100
453,fast-ball,39,0,,,0,0,-1,100,-1,100
454,friend-ball,39,0,,,0,0,-1,100,-1,100
455,love-ball,39,0,,,0,0,-1,100,-1,100
456,park-ball,34,0,,,0,0,-1,100,-1,100
457,sport-ball,34,300,,,0,0,-1,100,-1,100
458,red-apricorn,40,200,10,,0,1,-1,100,-1,100
459,blue-apricorn,40,200,10,,0,1,-1,100,-1,100
460,yellow-apricorn,40,200,10,,0,1,-1,100,-1,100
461,green-apricorn,40,200,10,,0,1,-1,100,-1,100
462,pink-apricorn,40,200,10,,0,1,-1,100,-1,100
463,white-apricorn,40,200,10,,0,1,-1,100,-1,100
464,black-apricorn,40,200,10,,0,1,-1,100,-1,100
465,dowsing-machine,21,0,,,0,0,-1,100,-1,100
466,rage-candy-bar,21,350,30,,0,0,-1,100,-1,100
467,red-orb,22,0,,,0,0,-1,100,-1,100
468,blue-orb,22,0,,,0,0,-1,100,-1,100
469,jade-orb,22,0,,,0,0,-1,100,-1,100
470,enigma-stone,20,0,,,0,0,-1,100,-1,100
471,unown-report,21,0,,,0,0,-1,100,-1,100
472,blue-card,21,0,,,0,0,-1,100,-1,100
473,slowpoke-tail,23,0,,,0,0,-1,100,-1,100
474,clear-bell,22,0,,,0,0,-1,100,-1,100
475,card-key,22,0,,,0,0,-1,100,-1,100
476,basement-key,22,0,,,0,0,-1,100,-1,100
477,red-scale,22,0,,,0,0,-1,100,-1,100
478,lost-item,22,0,,,0,0,-1,100,-1,100
479,pass,22,0,,,0,0,-1,100,-1,100
480,machine-part,22,0,,,0,0,-1,100,-1,100
481,silver-wing,22,0,,,0,0,-1,100,-1,100
482,rainbow-wing,22,0,,,0,0,-1,100,-1,100
483,mystery-egg,22,0,,,0,0,-1,100,-1,100
